"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"PA3326",2141.74882577222,-3.44629590365617,0.162764607052172,-21.1734969049598,1.67645047726525e-99,8.72424828368838e-96,3.44629590365617,-10.9002997514997
"PA3327",3569.54161297118,-4.39479352918042,0.217220613218672,-20.2319359293783,5.12507816548087e-91,1.33354533865812e-87,4.39479352918042,-21.0360733772175
"PA3330",749.070268438923,-4.72226394977961,0.274324218467963,-17.2141707945159,2.07904187508936e-66,3.60644463932168e-63,4.72226394977961,-26.3963024768872
"PA3333",755.57568046478,-4.43978375653965,0.260207820939374,-17.0624531596,2.82441012617775e-65,3.67455757415725e-62,4.43978375653965,-21.7024160517992
"PA3332",424.146020009913,-4.4967250206877,0.264356030481747,-17.0101094818724,6.91085127816424e-65,7.19281401031335e-62,4.4967250206877,-22.576110052231
"PA3329",859.656584371464,-4.4611355548612,0.267961256249543,-16.6484349913134,3.10619484288781e-62,2.6941063270647e-59,4.4611355548612,-22.0259990794237
"PA3334",299.89601760159,-4.40877315337504,0.278658520542255,-15.8214187917017,2.21445677769841e-56,1.64629043873465e-53,4.40877315337504,-21.2409023924243
"PA3331",1161.92425379306,-4.64965781287692,0.301204197969457,-15.4368957810754,9.24436546042419e-54,6.01345973200594e-51,4.64965781287692,-25.1007368822196
"PA3328",713.057910533561,-4.20827602162889,0.275789157123751,-15.2590336237932,1.43355669654571e-52,8.28914338758206e-50,4.20827602162889,-18.4849088141172
"PA3335",513.662066677801,-3.84484392069854,0.253496120993217,-15.1672692490684,5.82503367552233e-52,3.03134752474182e-49,3.84484392069854,-14.3685634056912
"PA3724",776.790137960509,-2.96333112074956,0.20388561774804,-14.534282277878,7.34796361706777e-48,3.47625478756551e-45,2.96333112074956,-7.79922688451404
"PA3336",442.49515190486,-4.00817786988768,0.276062033840633,-14.5191202648371,9.16792811137639e-48,3.97582482430023e-45,4.00817786988768,-16.0909530178628
"PA2840",1650.84052427049,2.43982426114455,0.169508812020612,14.3934951349188,5.68488305459664e-47,2.27570241662468e-44,2.43982426114455,5.42575634246204
"PA2796",696.219839500671,-1.83762786119083,0.140828041668864,-13.0487354607382,6.46109154072603e-39,2.40168002699559e-36,1.83762786119083,-3.57421857167104
"PA0641",1420.52066088318,3.21979559521054,0.249253989822993,12.9177294112607,3.57537238924719e-38,1.24041586090949e-35,3.21979559521054,9.31654860537111
"PA4839",1173.84635009435,1.83924592696273,0.142626725424537,12.8955209585587,4.77028545841759e-38,1.55153534535032e-35,1.83924592696273,3.57822951296142
"PA0636",924.808393584651,3.23576464465571,0.256100800536322,12.6347306915067,1.35858498961008e-36,4.15886840348874e-34,3.23576464465571,9.42024541125054
"PA4138",184.333562205996,2.80545487719258,0.222140675957882,12.6291813288823,1.457870754553e-36,4.21486633705212e-34,2.80545487719258,6.99078699295841
"PA0622",1211.71910134403,3.24276628874333,0.262624307367472,12.3475481810827,5.02186589272463e-35,1.30668950528695e-32,3.24276628874333,9.46607458076113
"PA1871",197.654482580969,-2.86502011708004,0.231969850555468,-12.3508296885114,4.82116331442973e-35,1.30668950528695e-32,2.86502011708004,-7.28546025719433
"PA0617",174.770020676686,3.77052938337466,0.310108942396512,12.1587251055585,5.1557011165749e-34,1.27763183860266e-31,3.77052938337466,13.6471650484792
"PA0572",367.101596525809,-3.19062877599457,0.262559553279826,-12.1520193652757,5.59659471847053e-34,1.3238490415873e-31,3.19062877599457,-9.13008806554878
"PA0277",563.315447914746,3.30151395177415,0.272846240857712,12.1002728181103,1.05260771330713e-33,2.38163936523927e-31,3.30151395177415,9.85949635062477
"PA2195",589.239458566364,-2.16866713415871,0.179563104340912,-12.077465145854,1.38937120273094e-33,3.01261989125493e-31,2.16866713415871,-4.4960782176991
"PA2272",360.061271175875,-2.15389249037972,0.179446643717867,-12.0029689369178,3.42775846287873e-33,7.13522201632837e-31,2.15389249037972,-4.45026883599238
"PA0639",236.021438613201,3.07784143260389,0.256727890870237,11.9887302550995,4.0709754525848e-33,8.14821394432743e-31,3.07784143260389,8.44350166024483
"PA0618",364.161821013986,3.3383242498484,0.280435078474453,11.9040894170895,1.12686650764176e-32,2.17193085398804e-30,3.3383242498484,10.1142977496147
"PA1249",663.818012649682,-3.2609631140248,0.274432168039641,-11.8825833622892,1.45790877030893e-32,2.70962758595988e-30,3.2609631140248,-9.58622707258696
"PA3479",1176.83147977762,-3.12298441225382,0.264954064777786,-11.7868899836393,4.56073274411747e-32,8.18415627599563e-30,3.12298441225382,-8.71188199375995
"PA0045",442.101796349938,2.09693194558216,0.178763960674055,11.7301716614209,8.92774336828452e-32,1.49870891898557e-29,2.09693194558216,4.27798654676415
"PA0638",241.386079100381,3.12327449440934,0.266256125667113,11.7303385474565,8.91015838610332e-32,1.49870891898557e-29,3.12327449440934,8.71363386475179
"PA0619",269.86896321492,3.03407452469196,0.2592794629152,11.7019469671005,1.24562316064773e-31,2.02569466500338e-29,3.03407452469196,8.19119832179139
"PA2911",120.549496187002,3.00165518413011,0.258981420863346,11.5902336705225,4.61870789301283e-31,7.28356238643599e-29,3.00165518413011,8.00918355678147
"PA5340",1773.48117378474,1.52039553156122,0.132207354514667,11.5000828595549,1.31788852405193e-30,2.01714467034301e-28,1.52039553156122,2.86869687471563
"PA4519",2293.60688621485,2.26833095399856,0.199815388335578,11.3521334512487,7.23748782858254e-30,1.07611104742696e-27,2.26833095399856,4.81765456731608
"PA3967",220.355909924797,1.86770787759453,0.164564598945258,11.3493903887301,7.46815559584512e-30,1.07956338113272e-27,1.86770787759453,3.64952291000778
"PA5339",2516.74077356132,1.8348304420751,0.1618782697029,11.3346309263289,8.84039768169037e-30,1.2433899874464e-27,1.8348304420751,3.56729479388764
"PA0614",122.954210995871,3.16427767143433,0.280483130862967,11.2815257791039,1.6191307350927e-29,2.2173569330059e-27,3.16427767143433,8.96483898472433
"PA0640",264.070874942297,3.36057896872326,0.303270255048405,11.0811360915922,1.54894511047785e-28,2.06684880895557e-26,3.36057896872326,10.2715284260987
"PA0126",401.97775268012,2.15621802503765,0.195108368620446,11.0513866744089,2.15854641678472e-28,2.80826888823692e-26,2.15621802503765,4.45744817728242
"PA0613",175.986157930041,3.15233618966481,0.285441400870025,11.0437244914595,2.35082438714258e-28,2.98382685626586e-26,3.15233618966481,8.8909414343245
"PA0635",232.866355485032,3.00533753997712,0.272866286465721,11.0139569783557,3.27305446114707e-28,4.05547033709747e-26,3.00533753997712,8.02965242501721
"PA0165",465.627353589058,2.28321291602304,0.207344264980096,11.0117003537196,3.35609171361415e-28,4.06165145991815e-26,2.28321291602304,4.86760775350358
"PA0625",1377.05787035171,2.76250551996145,0.251423157465114,10.9874744546741,4.3903961440545e-28,5.19264125764991e-26,2.76250551996145,6.78573702099822
"PA1041",516.678127693994,-1.90688634170053,0.174559069363959,-10.9240175755327,8.84928189488746e-28,1.02337028846654e-25,1.90688634170053,-3.74998894282506
"PA1900",140.158733785594,-4.22121652880237,0.387551748955062,-10.8920074291597,1.25835521080385e-27,1.42358272109201e-25,4.22121652880237,-18.6514582889957
"PA0633",614.565420781028,3.02558863163478,0.278685306879362,10.8566492633374,1.8542874730249e-27,2.0531302148131e-25,3.02558863163478,8.14315933618443
"PA0629",205.563019405133,2.75331813320835,0.258058184737345,10.6693695300179,1.41583780602762e-26,1.53500415470161e-24,2.75331813320835,6.74266131749767
"PA0996",2048.79232952505,2.20647109095774,0.209141268252952,10.5501468427984,5.07177670330272e-26,5.3864338702015e-24,2.20647109095774,4.61544928163987
"PA0620",1006.10662516558,2.8568122465418,0.272786633781885,10.4726987790247,1.15307900023497e-25,1.20012462344455e-23,2.8568122465418,7.24412904618849
"PA0616",275.018526740482,2.84091092451058,0.273657642174998,10.3812592330014,3.01768258870826e-25,3.07921964541917e-23,2.84091092451058,7.16472297970356
"PA0624",391.848106454401,2.93434363642412,0.284578020954596,10.3112096520352,6.27070109063864e-25,6.2755247068622e-23,2.93434363642412,7.64408402333552
"PA5018",368.319562336875,-1.50211004036469,0.14658394982407,-10.2474387009459,1.21521006086692e-24,1.19319870882103e-22,1.50211004036469,-2.83256691987633
"PA2928",297.351117188767,2.00871296031141,0.196481262846319,10.2234326633098,1.55726614924606e-24,1.50074315568083e-22,2.00871296031141,4.02423055040358
"PA0646",337.627701223845,3.29057947580823,0.323526224360285,10.1709822204205,2.67200464901884e-24,2.52820221699891e-22,3.29057947580823,9.78505171598361
"PA0578",1110.14441127668,1.2682808354873,0.125376019765356,10.1158167076999,4.70079894991194e-24,4.21775133367961e-22,1.2682808354873,2.40874360364464
"PA0623",482.438223800118,2.87404541310393,0.284095388193967,10.1164803532174,4.66904506547464e-24,4.21775133367961e-22,2.87404541310393,7.33117992439544
"PA1000",1515.91041327251,1.97070278595813,0.194766248090472,10.1182972166857,4.58319532597576e-24,4.21775133367961e-22,1.97070278595813,3.91959009137731
"PA4139",192.396891160769,-2.48261123236349,0.246675708782654,-10.0642712029295,7.94737510306857e-24,7.00985424345234e-22,2.48261123236349,-5.58908157681018
"PA2300",336.827965361719,-2.84877580536666,0.284931783080626,-9.99809770102254,1.55352566281146e-23,1.34742459154514e-21,2.84877580536666,-7.20388826843711
"PA2194",544.074511288031,-1.88804608496672,0.191142904710809,-9.87766764255911,5.20297898252417e-23,4.43873813525504e-21,1.88804608496672,-3.70133594449754
"PA5220",250.860203058703,-2.18030432505048,0.22079488145992,-9.87479560501611,5.35420040636597e-23,4.4940740185046e-21,2.18030432505048,-4.53249153340905
"PA2304",262.901570157153,-2.10401303732931,0.213543247400827,-9.8528661661683,6.66166434476072e-23,5.50274623018012e-21,2.10401303732931,-4.29903554071949
"PA3677",227.304774085496,2.06917060340542,0.21083472069442,9.81418334034474,9.78268715485299e-23,7.95454749278984e-21,2.06917060340542,4.19645352530918
"PA0628",309.979465263384,3.18991693600332,0.325188391364032,9.80944283596016,1.02533116350049e-22,8.20895903824085e-21,3.18991693600332,9.12558430105737
"PA0999",1692.86206528492,2.04326637401301,0.209302113385114,9.76228257310246,1.63434640583068e-22,1.28865737817316e-20,2.04326637401301,4.12177677423681
"PA0998",1247.84945148393,2.09408133247612,0.216187460873281,9.68641439247751,3.44407928441699e-22,2.67507292479194e-20,2.09408133247612,4.26954204241544
"PA3478",489.257344014746,-3.05542664562142,0.315621226979023,-9.68067539330775,3.64301306155155e-22,2.78797646651681e-20,3.05542664562142,-8.31333094937262
"PA0626",420.580097291685,2.481121285844,0.257591306835851,9.63200705924866,5.8574037986338e-22,4.41767092291164e-20,2.481121285844,5.5833124199203
"PA2019",406.581112329436,2.22047022941157,0.231578283369717,9.58842166502533,8.94427347567525e-22,6.64942845248772e-20,2.22047022941157,4.66045311800525
"PA3766",183.962919804638,2.30145823904004,0.241316202919811,9.53710613375101,1.46873500036682e-21,1.07652069604351e-19,2.30145823904004,4.92955780628877
"PA1395",65.4924896105977,2.43885312181548,0.256426599806382,9.51092095616041,1.88981951880333e-21,1.36591955220174e-19,2.43885312181548,5.42210526432484
"PA4180",434.197920915766,-1.32916913271193,0.140560310787613,-9.45621936422945,3.19278667508991e-21,2.27606326810519e-19,1.32916913271193,-2.51257930439805
"PA2929",188.536483710146,2.67611507707871,0.286286388412886,9.34768534373764,8.95867334806757e-21,6.30012650045184e-19,2.67611507707871,6.39132511756323
"PA0634",303.586846676094,2.68929573789786,0.288760563238556,9.31323761020696,1.23993871978903e-20,8.60352146370948e-19,2.68929573789786,6.44998469809039
"PA2303",194.694539663179,-1.8067970864896,0.195841814093547,-9.22579835594538,2.81456287887111e-20,1.9272348975849e-18,1.8067970864896,-3.4986469440755
"PA1001",1966.84746311341,1.97858313723354,0.2152541035013,9.19184863401033,3.8614717586296e-20,2.60975312102707e-18,1.97858313723354,3.94105842522215
"PA3661",150.062443345625,4.10600137734455,0.447867779537206,9.167887409957,4.82379470022014e-20,3.218336874352e-18,4.10600137734455,17.2198584363747
"PA3615",550.764093956699,-1.33654264636825,0.145825360267477,-9.16536495378257,4.93796005055938e-20,3.25280305102671e-18,1.33654264636825,-2.52545379413307
"PA5445",814.019481602909,1.72253314263127,0.188079135554696,9.15855518769296,5.25967707861189e-20,3.42141993963703e-18,1.72253314263127,3.30015352869078
"PA0630",119.06366844235,2.99148007211764,0.326850757566191,9.152434262025,5.56648175321329e-20,3.57629272144716e-18,2.99148007211764,7.95289471661312
"PA3836",648.609612351603,-1.1951905232996,0.131066731061955,-9.1189466130397,7.58580394333966e-20,4.81421020989507e-18,1.1951905232996,-2.28975068728258
"PA0047",347.296528351307,2.12289712264905,0.235718599063732,9.00606541478328,2.13581793387023e-19,1.33913211179044e-17,2.12289712264905,4.35567745063167
"PA2302",2064.22973474925,-2.03445681697584,0.226189277957859,-8.99448831237206,2.37335164861739e-19,1.47034785469106e-17,2.03445681697584,-4.09668457629984
"PA1002",606.311021376099,1.933413444355,0.217602232837326,8.88508090723668,6.38742677290356e-19,3.91060810896354e-17,1.933413444355,3.81957850609205
"PA4670",6453.2718762076,1.60337847494708,0.181255595440176,8.84595298177303,9.07504661407709e-19,5.49145843949502e-17,1.60337847494708,3.03854040225144
"PA0997",1372.5076352738,2.03175361249932,0.232820378549999,8.72670006445762,2.62211287766983e-18,1.56844545004526e-16,2.03175361249932,4.08901572924333
"PA1005",458.787804044888,-1.32814900451538,0.152749072452843,-8.69497263183323,3.46913394637823e-18,2.05151966556276e-16,1.32814900451538,-2.51080329010952
"PA0637",112.264846461338,3.0062847996755,0.346597381082871,8.67370893075704,4.1826863799664e-18,2.44569662037586e-16,3.0062847996755,8.0349263488424
"PA1205",171.808132915496,-1.59893703562017,0.184650488856074,-8.65926240177174,4.74826648789893e-18,2.74555320033622e-16,1.59893703562017,-3.0292004237108
"PA1130",185.29206292045,-2.17657017860939,0.252114822590059,-8.63324954974388,5.9633140197453e-18,3.37345650132683e-16,2.17657017860939,-4.52077519561592
"PA3823",826.113354671605,1.29810610842913,0.150361414226905,8.63323955220451,5.96383547505897e-18,3.37345650132683e-16,1.29810610842913,2.45905858856451
"PA3818",1213.16930078855,1.25591904001444,0.145588578528244,8.62649428073644,6.32611636383575e-18,3.53990425348401e-16,1.25591904001444,2.38819235175498
"PA0615",270.321318518629,2.12856539119766,0.246786147589801,8.62514128927399,6.40135747173302e-18,3.54390045562752e-16,2.12856539119766,4.37282432750408
"PA3622",2663.07356378344,-1.93255084133286,0.2250658167535,-8.58660310663459,8.95784235231419e-18,4.90701174752032e-16,1.93255084133286,-3.81729542125897
"PA0645",102.568316512854,2.60397631276372,0.305396532777006,8.52654183426859,1.50787660618319e-17,8.17394776935139e-16,2.60397631276372,6.07959960541504
"PA4141",1431.93889217091,-2.42361491130911,0.28835359056226,-8.40501034366626,4.27823888362822e-17,2.29525310828879e-15,2.42361491130911,-5.36513662926697
"PA0852",378.907273890505,-1.90406713237237,0.226625277859765,-8.40183032693554,4.3957266666429e-17,2.33422056869486e-15,1.90406713237237,-3.74266814340811
"PA1124",238.374334524839,-1.57429411138504,0.187461840453578,-8.39794439004719,4.54362266091542e-17,2.38838508357615e-15,1.57429411138504,-2.97789753002437
"PA1964",789.503056915223,1.19913377503285,0.143478787664495,8.35756835245121,6.40242116087201e-17,3.33181997211779e-15,1.19913377503285,2.29601771788916
"PA0046",330.735622405051,2.11753331681936,0.253511473981615,8.35281055946576,6.6657513211908e-17,3.4345118688591e-15,2.11753331681936,4.33951351406126
"PA4296",269.347274613107,-2.24210810134812,0.269404908968197,-8.32244709250193,8.61655874788638e-17,4.39613448274517e-15,2.24210810134812,-4.73087847310445
"PA0631",48.2991630003531,3.09268517135711,0.373639925266292,8.27718068178331,1.26125777714375e-16,6.37241307986028e-15,3.09268517135711,8.53082442494749
"PA2301",146.598234330022,-1.86271781602782,0.225099084710978,-8.27510168874968,1.28346037914496e-16,6.42223828179842e-15,1.86271781602782,-3.63692157386366
"PA1271",517.492074964899,1.77547396468598,0.21513316151629,8.25290695387074,1.54587409423998e-16,7.66164646326177e-15,1.77547396468598,3.42350463268572
"PA5407",67.4942170753693,2.28819174608422,0.282659151269317,8.09523320157441,5.71547511992963e-16,2.80597476642583e-14,2.28819174608422,4.88443518930831
"PA3922",811.901570625582,-1.21683486724381,0.150561699876054,-8.08196817813257,6.37297371651067e-16,3.09952852530108e-14,1.21683486724381,-2.32436215028591
"PA4434",409.576843345302,-1.34227571958374,0.166459719079068,-8.06366685592062,7.40393557054051e-16,3.56760006565674e-14,1.34227571958374,-2.53550956978259
"PA0122",852.774799310462,-2.03620095644519,0.253442391180435,-8.03417670959215,9.42093357760698e-16,4.49784755393273e-14,2.03620095644519,-4.10164023905121
"PA0115",118.976980387572,-1.702941863433,0.213071809659752,-7.99233772948369,1.32403726191156e-15,6.26389991907978e-14,1.702941863433,-3.25564154440803
"PA1760",431.213760060834,-1.13747248439298,0.142432974570202,-7.98601930364341,1.39365872970561e-15,6.53387390034956e-14,1.13747248439298,-2.1999526678551
"PA2069",307.193139500375,-3.00910606559443,0.380676477345046,-7.90462832529307,2.68734211217069e-15,1.24865431711931e-13,3.00910606559443,-8.05065444283499
"PA4015",355.54474983023,-1.54983877227902,0.196866377661098,-7.87254172445352,3.47507718682102e-15,1.60038067966519e-13,1.54983877227902,-2.92784417372805
"PA2698",52.523734439981,-2.33726139228842,0.297468318950486,-7.85717753250041,3.92885816074966e-15,1.79348928671414e-13,2.33726139228842,-5.05342456072122
"PA1204",92.7495599049551,-1.68985277775145,0.215697241442155,-7.8343736176368,4.71185745917416e-15,2.1322179319602e-13,1.68985277775145,-3.22623779321304
"PA2544",135.3144334406,-1.6946455951508,0.216543234202183,-7.82589953176986,5.04039755473288e-15,2.26122662714051e-13,1.6946455951508,-3.23697359066449
"PA5496",324.720613741492,-1.65983692851445,0.215334883037745,-7.70816555636043,1.27639102170044e-14,5.67721271532401e-13,1.65983692851445,-3.15980806613431
"PA0383",157.247067668881,1.75621738243351,0.228456025375074,7.68733229754039,1.50234574395189e-14,6.6255993656997e-13,1.75621738243351,3.37811251865761
"PA3419",89.9324614249791,-1.78826947230756,0.234873595624805,-7.61375269770299,2.66250011994247e-14,1.16434038858661e-12,1.78826947230756,-3.45400332650383
"PA5206",341.246549762806,-1.31221297708766,0.173182456297538,-7.57705488847666,3.53487258959053e-14,1.53295641301909e-12,1.31221297708766,-2.48322154025354
"PA1217",99.5083185944532,-2.32933617727857,0.307654455845709,-7.57127398293477,3.6958164042248e-14,1.58950649318891e-12,2.32933617727857,-5.02574048786077
"PA1828",679.068419771649,-1.30602986387982,0.172789462828285,-7.55850410379325,4.07731151917696e-14,1.72506741022739e-12,1.30602986387982,-2.47260170432593
"PA4140",88.8434227544426,-1.94272227426501,0.257015091520894,-7.5587867730603,4.06846201022512e-14,1.72506741022739e-12,1.94272227426501,-3.84430359538529
"PA4192",105.488148521505,1.51023197647393,0.200035605598067,7.5498158038347,4.35874250943801e-14,1.82926580799318e-12,1.51023197647393,2.84855838500981
"PA4635",43.2836131206508,2.82667943711354,0.374604861705446,7.54576281857275,4.4964773270385e-14,1.87197344079267e-12,2.82667943711354,7.09439391117825
"PA4190",355.439942035563,-1.82798389052036,0.242756318296265,-7.53011869412785,5.06942196425318e-14,2.09375173825187e-12,1.82798389052036,-3.55040570417306
"PA2193",113.205117965411,-1.69312292889458,0.225695230681622,-7.50181084368144,6.29421590179644e-14,2.57914169708257e-12,1.69312292889458,-3.23355898798567
"PA1376",240.577516002881,-1.5385420714423,0.205610931527829,-7.48278342989784,7.2764739800884e-14,2.95834145252969e-12,1.5385420714423,-2.90500786875283
"PA0023",174.833635257861,-1.37117302946926,0.183333689490212,-7.47911108581312,7.48270047832413e-14,3.01860258055804e-12,1.37117302946926,-2.5868080937119
"PA3195",3311.51082379904,-1.05495203097171,0.141201095056,-7.47127372173225,7.94222496253697e-14,3.17933374654172e-12,1.05495203097171,-2.07764912445136
"PA1202",379.88188989101,-1.4718384265105,0.197361527026611,-7.45757518542125,8.81292759464672e-14,3.48162028308234e-12,1.4718384265105,-2.77375127678757
"PA3103",480.606342181309,-1.1478858922321,0.153927758902258,-7.45730270107418,8.83116597553552e-14,3.48162028308234e-12,1.1478858922321,-2.21588942639791
"PA0975",246.790864268397,1.82650880825248,0.245222419161553,7.44837610891187,9.44961090372944e-14,3.69742670248181e-12,1.82650880825248,3.54677745017131
"PA0074",802.473163246832,1.17326780829411,0.158181413556356,7.41722925542134,1.19595832249511e-13,4.64460232109297e-12,1.17326780829411,2.25521942309071
"PA4918",1118.30790256344,1.45475697839437,0.196540591430261,7.4018143926801,1.34336183067859e-13,5.17841108655658e-12,1.45475697839437,2.74110383283735
"PA2491",370.790041375719,-1.07223651051489,0.144906507581717,-7.39950557369013,1.36692485788451e-13,5.23049776502277e-12,1.07223651051489,-2.10269049784568
"PA0612",107.962987303817,3.01671613517021,0.408441592410982,7.38591806324839,1.51405014899984e-13,5.75118027401106e-12,3.01671613517021,8.09323302615066
"PA4872",334.082496653805,-1.12007224525419,0.151798537605499,-7.37867612509601,1.59871202868019e-13,6.02876622989253e-12,1.12007224525419,-2.17357856773886
"PA2018",709.165061045612,2.11543286450981,0.286802760746411,7.37591527712059,1.63219790551051e-13,6.11076107933574e-12,2.11543286450981,4.33320011530451
"PA0643",302.290789340223,2.51016579940176,0.340956561608947,7.36212785451757,1.81001480270239e-13,6.72808359518801e-12,2.51016579940176,5.69685544669759
"PA0091",799.166442346583,1.24667734593229,0.16936111518327,7.36106009093781,1.82455403719479e-13,6.7340278081998e-12,1.24667734593229,2.37294283499349
"PA2454",125.278213303012,1.7538335941616,0.238997884528357,7.33828082881422,2.16354839705894e-13,7.92894778753151e-12,1.7538335941616,3.37253541772452
"PA1618",148.721061084196,-1.49593041575242,0.204566620691389,-7.31268087968852,2.61864418641158e-13,9.52966737488522e-12,1.49593041575242,-2.82045988091445
"PA3256",362.25766640785,-1.2684188937508,0.174233902632606,-7.27997751634722,3.33875816230092e-13,1.20659010254264e-11,1.2684188937508,-2.40897411866113
"PA4748",4614.57705330666,1.39816147289885,0.192264504790909,7.27207278545448,3.54012745716881e-13,1.27053953704183e-11,1.39816147289885,2.63565488127446
"PA3471",1342.70649418304,-1.13995764529791,0.156813014022115,-7.26953469013193,3.60727881927987e-13,1.28577253257072e-11,1.13995764529791,-2.20374553314885
"PA4276",3372.72158786949,1.27764366435651,0.175821495022788,7.26670913696256,3.68350753045691e-13,1.30401178153046e-11,1.27764366435651,2.42442674761693
"PA3741",208.026516248554,1.70180138871652,0.235217836946299,7.23500143870911,4.65524203291142e-13,1.63688375265345e-11,1.70180138871652,3.25306892194561
"PA1216",74.924629375085,-2.59800378770552,0.359762406439813,-7.22144321141059,5.14387024507805e-13,1.79655709767693e-11,2.59800378770552,-6.05448306752376
"PA0580",644.121858100674,1.19777648215399,0.167196425392629,7.16388809952868,7.84204242122625e-13,2.72066591733743e-11,1.19777648215399,2.29385863164847
"PA5182",373.218912738402,1.36798891608614,0.191334447672736,7.14972621357753,8.69511481680198e-13,2.99664751699586e-11,1.36798891608614,2.58110515075495
"PA0300",1965.60306143432,-0.977096843286807,0.136817029066843,-7.1416317833465,9.2229391585593e-13,3.15764311718044e-11,0.977096843286807,-1.96850017845756
"PA2788",477.433858172338,-1.47503857610543,0.207155367513627,-7.12044584607929,1.07578496036404e-12,3.65907512008787e-11,1.47503857610543,-2.77991077049904
"PA0642",148.245607597709,3.81754735657282,0.536269529910226,7.11871017026064,1.08941719730996e-12,3.68138123039029e-11,3.81754735657282,14.0992582111586
"PA2622",778.397542456523,-1.56231568537753,0.220557544273762,-7.0834833173439,1.40575323123875e-12,4.71970310668803e-11,1.56231568537753,-2.95327496575147
"PA4130",1791.66551419138,-1.0574527205493,0.149510154439295,-7.07278194257137,1.51858021084963e-12,5.06582783157788e-11,1.0574527205493,-2.0812535320457
"PA3019",1107.38156329894,1.20851315131088,0.17096362696413,7.06883196602073,1.56243201077353e-12,5.17891476692066e-11,1.20851315131088,2.31099341876324
"PA2371",134.14398347418,-1.72529677247302,0.244546579398911,-7.05508446167496,1.72495914652902e-12,5.68144772059305e-11,1.72529677247302,-3.30648136903685
"PA3022",466.051343937368,-1.15895403600501,0.164347500029766,-7.0518507175047,1.76553564882268e-12,5.77852045061209e-11,1.15895403600501,-2.23295478130889
"PA0632",44.443695552199,2.8768842229922,0.408075073273432,7.04988961936553,1.79059775759821e-12,5.82391920658819e-11,2.8768842229922,7.34561978504479
"PA3743",6436.47201890513,1.21084101648213,0.171888861219051,7.04432508246748,1.8636259308013e-12,6.02379462353414e-11,1.21084101648213,2.31472533956009
"PA3637",4684.0987337048,1.00337846938519,0.142606013433776,7.0360179435992,1.97811475134194e-12,6.35438837406385e-11,1.00337846938519,2.00468904125843
"PA5201",1364.11269516725,1.18338521106203,0.169135665603707,6.99666274903105,2.62131240892514e-12,8.36890170309597e-11,1.18338521106203,2.27109052259359
"PA0674",114.949786131818,1.37337126787312,0.196418923450502,6.99205170126702,2.70895007046723e-12,8.5959610772631e-11,1.37337126787312,2.59075262470595
"PA2850",179.339360794977,1.57812768211045,0.22591625937904,6.98545419638292,2.83935887546766e-12,8.9551658108689e-11,1.57812768211045,2.98582100750912
"PA0989",46.7277594008524,2.18130036269054,0.313113173341612,6.96649182597853,3.24941766737026e-12,1.01257302640688e-10,2.18130036269054,4.53562184911632
"PA4191",160.781951277914,1.17013996005816,0.167957344415097,6.96688771862355,3.2402906890422e-12,1.01257302640688e-10,1.17013996005816,2.25033527038334
"PA3436",54.0578318401407,1.90391198452715,0.273377891120217,6.96439634063135,3.29814879583626e-12,1.02164085318642e-10,1.90391198452715,3.74226567742609
"PA5286",274.50972949466,1.78894996266528,0.257708327755434,6.94176233359054,3.87238311365882e-12,1.19241903689234e-10,1.78894996266528,3.45563289498629
"PA2305",1510.70972107932,-1.635421079936,0.235643722635179,-6.9402276523527,3.91468583184254e-12,1.19835441581815e-10,1.635421079936,-3.10678214534186
"PA1872",155.931700878273,-1.53110869805846,0.220878363091388,-6.93190893227043,4.15199227648717e-12,1.26356536882101e-10,1.53110869805846,-2.89007853700697
"PA5447",306.838738168759,-1.05755604862514,0.152831711041582,-6.91974225386644,4.52466115241885e-12,1.36897306030161e-10,1.05755604862514,-2.08140260001784
"PA3041",186.757007621432,-1.32842261090394,0.192752478332019,-6.89185748686308,5.50685290520506e-12,1.65651228431718e-10,1.32842261090394,-2.51127950784588
"PA0621",169.043346422181,3.26348466503341,0.474008707122986,6.8848622736094,5.78434699652432e-12,1.72589075323873e-10,3.26348466503341,9.6029965881766
"PA1759",718.268685581678,-1.09360237900335,0.158852617050847,-6.88438377224409,5.80382171054531e-12,1.72589075323873e-10,1.09360237900335,-2.13406242634615
"PA5118",1555.17412252923,1.24210052700574,0.180493399319425,6.88169501870568,5.9144533136562e-12,1.74879630933334e-10,1.24210052700574,2.36542681771172
