Locus_Tag	Product	Pathway_Name	Pathway_Xref	Pathway_Database	Pathway_Version	ECO_code	ECO_term	PMID
PA14_68330	arginine deiminase	Arginine and proline metabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PA14_41900	2-dehydropantoate 2-reductase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_43830	3-methyl-2-oxobutanoate hydroxymethyltransferase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_57160	2-dehydropantoate 2-reductase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_62580	3-methyl-2-oxobutanoate hydroxymethyltransferase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_62590	pantoate--beta-alanine ligase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_62600	aspartate alpha-decarboxylase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_38490	hydroxymethylglutaryl-CoA lyase	(S)-3-hydroxy-3-methylglutaryl-CoA degradation	UPA00896	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_44850	allantoicase	(S)-allantoin degradation	UPA00395	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_44860	ureidoglycolate hydrolase	(S)-allantoin degradation	UPA00395	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_08520	anhydro-N-acetylmuramic acid kinase	1,6-anhydro-N-acetylmuramate degradation	UPA00343	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_07130	transketolase	1-deoxy-D-xylulose 5-phosphate biosynthesis	UPA00064	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_11550	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose 5-phosphate biosynthesis	UPA00064	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_66290	pyruvate dehydrogenase subunit E1	1-deoxy-D-xylulose 5-phosphate biosynthesis	UPA00064	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_41430	hypothetical protein	2-methylthio-cis-ribozeatin biosynthesis; step 3	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PA14_41430	hypothetical protein	2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis	UPA00729	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_04630	dihydroxy-acid dehydratase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_06920	class III pyridoxal phosphate-dependent aminotransferase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_08480	N-acetyl-gamma-glutamyl-phosphate reductase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_09820	acetolactate synthase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_15030	2-isopropylmalate synthase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_23750	isopropylmalate isomerase large subunit	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_23760	isopropylmalate isomerase small subunit	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_23790	3-isopropylmalate dehydrogenase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_23800	aspartate-semialdehyde dehydrogenase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_27500	aminotransferase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_30180	monomeric isocitrate dehydrogenase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_30190	isocitrate dehydrogenase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_33500	diaminobutyrate--2-oxoglutarate aminotransferase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_35890	diaminobutyrate--2-oxoglutarate aminotransferase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_38200	thiamine pyrophosphate protein	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_41470	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_44070	type II citrate synthase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_44290	aconitate hydratase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_46120	hypothetical protein	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_48570	2-isopropylmalate synthase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_52580	aspartate kinase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_57210	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_62130	ketol-acid reductoisomerase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_62150	acetolactate synthase 3 regulatory subunit	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_62160	acetolactate synthase 3 catalytic subunit	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_66260	branched-chain amino acid aminotransferase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_68740	N-acetylglutamate synthase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_68770	acetylornithine deacetylase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_70280	acetylglutamate kinase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_71180	acetylornithine deacetylase	2-Oxocarboxylic acid metabolism	pau01210	KEGG	81.0+/01-23, Jan 17	ECO:0000249	sequence similarity evidence used in automatic assertion	NA
PA14_17310	2-dehydro-3-deoxyphosphooctonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_25980	phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_41920	phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_57900	hypothetical protein	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_18340	hypothetical protein	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	UPA00036	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PA14_18360	glycosyl transferase family protein	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	UPA00036	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
