Locus Tag	Product	Pathway Name	Pathway Xref	Pathway Database	Pathway Version	ECO code	ECO term	PMID
PALES_35771	2-dehydropantoate 2-reductase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_37291	3-methyl-2-oxobutanoate hydroxymethyltransferase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_47761	2-dehydropantoate 2-reductase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_51141	3-methyl-2-oxobutanoate hydroxymethyltransferase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_51151	pantoate--beta-alanine ligase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_51161	aspartate alpha-decarboxylase	(R)-pantothenate biosynthesis	UPA00028	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_33121	hydroxymethylglutaryl-CoA lyase	(S)-3-hydroxy-3-methylglutaryl-CoA degradation	UPA00896	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_38951	allantoicase	(S)-allantoin degradation	UPA00395	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_38961	ureidoglycolate hydrolase	(S)-allantoin degradation	UPA00395	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_06451	anhydro-N-acetylmuramic acid kinase	1,6-anhydro-N-acetylmuramate degradation	UPA00343	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_05461	transketolase	1-deoxy-D-xylulose 5-phosphate biosynthesis	UPA00064	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_09321	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose 5-phosphate biosynthesis	UPA00064	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_54041	pyruvate dehydrogenase subunit E1	1-deoxy-D-xylulose 5-phosphate biosynthesis	UPA00064	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_35391	putative tRNA-(ms(2)io(6)a)-hydroxylase	2-methylthio-cis-ribozeatin biosynthesis; step 3	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_35391	putative tRNA-(ms(2)io(6)a)-hydroxylase	2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis	UPA00729	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_13991	2-dehydro-3-deoxyphosphooctonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_21201	phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_26401	2-dehydro-3-deoxyphosphooctonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_35791	phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_48371	putative phophatase	3-deoxy-D-manno-octulosonate biosynthesis	UPA00357	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_14781	putative polysaccharide deacetylase	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	UPA00036	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_14801	putative glycosyl transferase	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	UPA00036	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_14771	4-amino-4-deoxy-L-arabinose transferase	4-amino-4-deoxy-beta-L-arabinose-lipid A biosynthesis	UPA00037	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_02611	succinate-semialdehyde dehydrogenase I	4-aminobutanoate degradation	UPA00733	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08491	putative 4-hydroxyphenylacetate degradation bifunctional isomerase	4-hydroxyphenylacetate catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_08501	putative 4-hydroxyphenylacetate degradation bifunctional isomerase	4-hydroxyphenylacetate catabolism	NA	PseudoCAP	NA	ECO:0000037	not_recorded	NA
PALES_08431	putative 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08441	2-oxo-hept-3-ene-1,7-dioate hydratase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
PALES_08461	5-carboxymethyl-2-hydroxymuconate isomerase	4-hydroxyphenylacetate degradation	UPA00208	UniPathway	InterPro 5.8-49.0	ECO:0000259	match to InterPro signature evidence used in automatic assertion	NA
