"Locus Tag","Product","Pathway Name","Pathway Xref","Pathway Database","Version","ECO code","ECO term","PMID",""
"PA1598","conserved hypothetical protein","(R)-pantothenate biosynthesis","UPA00028","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1752","hypothetical protein","(R)-pantothenate biosynthesis","UPA00028","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4397","ketopantoate reductase","(R)-pantothenate biosynthesis","UPA00028","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4729","3-methyl-2-oxobutanoate hydroxymethyltransferase","(R)-pantothenate biosynthesis","UPA00028","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4730","pantoate--beta-alanine ligase","(R)-pantothenate biosynthesis","UPA00028","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4731","aspartate 1-decarboxylase precursor","(R)-pantothenate biosynthesis","UPA00028","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2011","3-hydroxy-3-methylglutaryl-CoA lyase","(S)-3-hydroxy-3-methylglutaryl-CoA degradation","UPA00896","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1514","ureidoglycolate hydrolaseYbbT","(S)-allantoin degradation","UPA00395","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1515","allantoicase","(S)-allantoin degradation","UPA00395","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4231","salicylate biosynthesis isochorismate synthase","1,4-dihydroxy-2-naphthoate biosynthesis I","PWY-5837","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0666","conserved hypothetical protein","1,6-anhydro-N-acetylmuramate degradation","UPA00343","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0548","transketolase","1-deoxy-D-xylulose 5-phosphate biosynthesis","UPA00064","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4044","1-deoxyxylulose-5-phosphate synthase","1-deoxy-D-xylulose 5-phosphate biosynthesis","UPA00064","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5015","pyruvate dehydrogenase","1-deoxy-D-xylulose 5-phosphate biosynthesis","UPA00064","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4231","salicylate biosynthesis isochorismate synthase","2,3-dihydroxybenzoate biosynthesis","PWY-5901","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1310","2-aminoethylphosphonate:pyruvate aminotransferase","2-aminoethylphosphonate degradation I","PHOSPHONOTASE-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1311","2-phosphonoacetaldehyde hydrolase","2-aminoethylphosphonate degradation I","PHOSPHONOTASE-PWY","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0609","anthranilate synthetase component I","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0649","anthranilate synthase component II","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0996","PqsA","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0999","3-oxoacyl-[acyl-carrier-protein] synthase III","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1001","anthranilate synthase component I","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1002","anthranilate synthase component II","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA2587","probable FAD-dependent monooxygenase","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","PWY-6660","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA1790","hypothetical protein","2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis","UPA00729","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
